period_month,chokepoint_id,outgoing_cp_flow,incoming_cp_flow,chokepoint_throughput,flow_imbalance
2021-09-01,CP008,4926516,4926516,4926516.0,0
2021-09-01,CP009,2041630,2041630,2041630.0,0
2021-09-01,CP010,434300,434300,434300.0,0
2021-09-01,CP011,4286955,4286955,4286955.0,0
2021-09-01,CP013,1221500,1221500,1221500.0,0
2021-09-01,CP014,786500,786500,786500.0,0
2021-09-01,CP015,647482,647482,647482.0,0
2021-09-01,CP016,1859084,1859084,1859084.0,0
2021-09-01,CP017,990500,990500,990500.0,0
2021-09-01,CP019,462870,462870,462870.0,0
2021-09-01,CP020,474482,474482,474482.0,0
2021-09-01,CP022,2070708,2070708,2070708.0,0
2021-09-01,CP024,348000,348000,348000.0,0
2021-10-01,CP001,5097137,5097137,5097137.0,0
2021-10-01,CP002,2546529,2546529,2546529.0,0
2021-10-01,CP004,5097137,5097137,5097137.0,0
2021-10-01,CP005,3866402,3866402,3866402.0,0
2021-10-01,CP006,7481883,7481883,7481883.0,0
2021-10-01,CP007,769317,769317,769317.0,0
2021-10-01,CP008,6626349,6626349,6626349.0,0
2021-10-01,CP009,3793456,3793456,3793456.0,0
2021-10-01,CP010,228100,228100,228100.0,0
2021-10-01,CP011,3768745,3768745,3768745.0,0
2021-10-01,CP013,1668529,1668529,1668529.0,0
2021-10-01,CP014,1285340,1285340,1285340.0,0
2021-10-01,CP015,1677566,1677566,1677566.0,0
2021-10-01,CP016,1007469,1007469,1007469.0,0
2021-10-01,CP017,620234,620234,620234.0,0
2021-10-01,CP019,769317,769317,769317.0,0
2021-10-01,CP020,1677566,1677566,1677566.0,0
2021-10-01,CP022,2720529,2720529,2720529.0,0
2021-11-01,CP001,2408647,2408647,2408647.0,0
2021-11-01,CP002,1896000,1896000,1896000.0,0
2021-11-01,CP004,2408647,2408647,2408647.0,0
2021-11-01,CP005,3702257,3702257,3702257.0,0
2021-11-01,CP006,4883176,4883176,4883176.0,0
2021-11-01,CP007,761100,761100,761100.0,0
2021-11-01,CP008,4613346,4613346,4613346.0,0
2021-11-01,CP009,2788413,2788413,2788413.0,0
2021-11-01,CP010,640389,640389,640389.0,0
2021-11-01,CP011,2310811,2310811,2310811.0,0
2021-11-01,CP013,1191000,1191000,1191000.0,0
2021-11-01,CP014,1512090,1512090,1512090.0,0
2021-11-01,CP015,979033,979033,979033.0,0
2021-11-01,CP016,992818,992818,992818.0,0
2021-11-01,CP017,984980,984980,984980.0,0
2021-11-01,CP019,437500,437500,437500.0,0
2021-11-01,CP020,812033,812033,812033.0,0
2021-11-01,CP022,1896000,1896000,1896000.0,0
2021-11-01,CP024,172000,172000,172000.0,0
2021-12-01,CP001,1211186,1211186,1211186.0,0
2021-12-01,CP002,2312014,2312014,2312014.0,0
2021-12-01,CP004,1211186,1211186,1211186.0,0
2021-12-01,CP005,4140395,4140395,4140395.0,0
2021-12-01,CP006,6485917,6485917,6485917.0,0
2021-12-01,CP007,836300,836300,836300.0,0
2021-12-01,CP008,3678262,3678262,3678262.0,0
2021-12-01,CP009,3735541,3735541,3735541.0,0
2021-12-01,CP010,451073,451073,451073.0,0
2021-12-01,CP011,5193362,5193362,5193362.0,0
2021-12-01,CP013,1049000,1049000,1049000.0,0
2021-12-01,CP014,216200,216200,216200.0,0
2021-12-01,CP015,1340021,1340021,1340021.0,0
2021-12-01,CP016,692097,692097,692097.0,0
2021-12-01,CP017,1796073,1796073,1796073.0,0
2021-12-01,CP019,492300,492300,492300.0,0
2021-12-01,CP020,1168021,1168021,1168021.0,0
2021-12-01,CP022,2334014,2334014,2334014.0,0
2022-01-01,CP001,1197918,1197918,1197918.0,0
2022-01-01,CP002,1034000,1034000,1034000.0,0
2022-01-01,CP004,1197918,1197918,1197918.0,0
2022-01-01,CP005,3786820,3786820,3786820.0,0
2022-01-01,CP006,5910048,5910048,5910048.0,0
2022-01-01,CP007,1262019,1262019,1262019.0,0
2022-01-01,CP008,4310141,4310141,4310141.0,0
2022-01-01,CP009,3402362,3402362,3402362.0,0
2022-01-01,CP010,216200,216200,216200.0,0
2022-01-01,CP011,2539820,2539820,2539820.0,0
2022-01-01,CP013,525000,525000,525000.0,0
2022-01-01,CP014,1428362,1428362,1428362.0,0
2022-01-01,CP015,1324499,1324499,1324499.0,0
2022-01-01,CP016,1181398,1181398,1181398.0,0
2022-01-01,CP017,1530120,1530120,1530120.0,0
2022-01-01,CP018,167000,167000,167000.0,0
2022-01-01,CP019,807588,807588,807588.0,0
2022-01-01,CP020,1157499,1157499,1157499.0,0
2022-01-01,CP021,160000,160000,160000.0,0
2022-01-01,CP022,1383000,1383000,1383000.0,0
2022-02-01,CP001,802300,802300,802300.0,0
2022-02-01,CP002,1505913,1505913,1505913.0,0
2022-02-01,CP004,802300,802300,802300.0,0
2022-02-01,CP005,2633170,2633170,2633170.0,0
2022-02-01,CP006,3587924,3587924,3587924.0,0
2022-02-01,CP007,631700,631700,631700.0,0
2022-02-01,CP008,4485130,4485130,4485130.0,0
2022-02-01,CP009,3466400,3466400,3466400.0,0
2022-02-01,CP010,349000,349000,349000.0,0
2022-02-01,CP011,1739245,1739245,1739245.0,0
2022-02-01,CP013,841800,841800,841800.0,0
2022-02-01,CP014,600100,600100,600100.0,0
2022-02-01,CP015,1143763,1143763,1143763.0,0
2022-02-01,CP016,1186183,1186183,1186183.0,0
2022-02-01,CP017,135000,135000,135000.0,0
2022-02-01,CP019,333800,333800,333800.0,0
2022-02-01,CP020,983963,983963,983963.0,0
2022-02-01,CP021,172000,172000,172000.0,0
2022-02-01,CP022,1505913,1505913,1505913.0,0
2022-03-01,CP001,2545799,2545799,2545799.0,0
2022-03-01,CP002,1683146,1683146,1683146.0,0
2022-03-01,CP004,2390851,2390851,2390851.0,0
2022-03-01,CP005,3486532,3486532,3486532.0,0
2022-03-01,CP006,7052345,7052345,7052345.0,0
2022-03-01,CP007,319600,319600,319600.0,0
2022-03-01,CP008,5283506,5283506,5283506.0,0
2022-03-01,CP009,5729075,5729075,5729075.0,0
2022-03-01,CP010,955624,955624,955624.0,0
2022-03-01,CP011,3407846,3407846,3407846.0,0
2022-03-01,CP013,651712,651712,651712.0,0
2022-03-01,CP015,1155830,1155830,1155830.0,0
2022-03-01,CP016,1449265,1449265,1449265.0,0
2022-03-01,CP017,477900,477900,477900.0,0
2022-03-01,CP018,334000,334000,334000.0,0
2022-03-01,CP019,170000,170000,170000.0,0
2022-03-01,CP020,1155830,1155830,1155830.0,0
2022-03-01,CP022,1683146,1683146,1683146.0,0
2022-04-01,CP001,3788377,3788377,3788377.0,0
2022-04-01,CP002,1039000,1039000,1039000.0,0
2022-04-01,CP004,3788377,3788377,3788377.0,0
2022-04-01,CP005,5303597,5303597,5303597.0,0
2022-04-01,CP006,10702065,10702065,10702065.0,0
2022-04-01,CP007,314400,314400,314400.0,0
2022-04-01,CP008,4441702,4441702,4441702.0,0
2022-04-01,CP009,6044095,6044095,6044095.0,0
2022-04-01,CP010,944338,944338,944338.0,0
2022-04-01,CP011,4185977,4185977,4185977.0,0
2022-04-01,CP013,164000,164000,164000.0,0
2022-04-01,CP014,655968,655968,655968.0,0
2022-04-01,CP015,826482,826482,826482.0,0
2022-04-01,CP016,1483446,1483446,1483446.0,0
2022-04-01,CP017,425200,425200,425200.0,0
2022-04-01,CP018,174000,174000,174000.0,0
2022-04-01,CP019,173400,173400,173400.0,0
2022-04-01,CP020,653482,653482,653482.0,0
2022-04-01,CP021,174000,174000,174000.0,0
2022-04-01,CP022,875000,875000,875000.0,0
2022-05-01,CP001,3887573,3887573,3887573.0,0
2022-05-01,CP002,1827306,1827306,1827306.0,0
2022-05-01,CP004,3887573,3887573,3887573.0,0
2022-05-01,CP005,3509797,3509797,3509797.0,0
2022-05-01,CP006,8751658,8751658,8751658.0,0
2022-05-01,CP007,759442,759442,759442.0,0
2022-05-01,CP008,5550910,5550910,5550910.0,0
2022-05-01,CP009,4561265,4561265,4561265.0,0
2022-05-01,CP010,1183362,1183362,1183362.0,0
