from_node_id,to_node_id,lng_flow_cmb,flow_share,cumulative_flow_share
CP019,LNGN0175,305914,7.785344810370089e-05,0.9950325871526446
LNGN0308,LNGN0165,305473,7.774121600378479e-05,0.9951103283686484
CP006,LNGN0391,303500,7.723909824157515e-05,0.99518756746689
CP001,LNGN0294,297402,7.568719042912993e-05,0.9952632546573191
LNGN0261,LNGN0287,280926,7.14941380975708e-05,0.9953347487954167
CP020,CP005,276546,7.037945193513885e-05,0.9954051282473518
LNGN0334,LNGN0222,258845,6.587464377047947e-05,0.9954710028911223
CP010,LNGN0122,245814,6.255832518996558e-05,0.9955335612163123
LNGN0026,LNGN0331,226500,5.764301730384438e-05,0.9955912042336161
LNGN0378,CP008,226500,5.764301730384438e-05,0.99564884725092
LNGN0435,LNGN0207,222845,5.671283969569626e-05,0.9957055600906156
LNGN0334,CP010,219752,5.5925688028937796e-05,0.9957614857786445
LNGN0312,LNGN0374,180000,4.580902037391607e-05,0.9958072947990184
LNGN0435,LNGN0299,180000,4.580902037391607e-05,0.9958531038193923
LNGN0103,LNGN0178,180000,4.580902037391607e-05,0.9958989128397662
LNGN0103,LNGN0076,180000,4.580902037391607e-05,0.99594472186014
LNGN0070,LNGN0442,180000,4.580902037391607e-05,0.9959905308805139
CP027,LNGN0059,175000,4.4536547585751735e-05,0.9960350674280997
CP005,CP006,174198,4.433244295053017e-05,0.9960793998710502
CP006,CP019,174000,4.4282053028118864e-05,0.9961236819240783
CP002,LNGN0453,174000,4.4282053028118864e-05,0.9961679639771064
CP007,CP005,174000,4.4282053028118864e-05,0.9962122460301345
CP019,LNGN0143,174000,4.4282053028118864e-05,0.9962565280831626
CP019,LNGN0059,174000,4.4282053028118864e-05,0.9963008101361907
LNGN0345,LNGN0045,174000,4.4282053028118864e-05,0.9963450921892187
CP005,LNGN0143,174000,4.4282053028118864e-05,0.9963893742422468
CP018,LNGN0143,174000,4.4282053028118864e-05,0.9964336562952749
LNGN0322,LNGN0181,174000,4.4282053028118864e-05,0.996477938348303
CP023,LNGN0243,174000,4.4282053028118864e-05,0.9965222204013311
LNGN0345,LNGN0344,174000,4.4282053028118864e-05,0.9965665024543592
LNGN0013,CP008,174000,4.4282053028118864e-05,0.9966107845073873
LNGN0075,CP023,174000,4.4282053028118864e-05,0.9966550665604154
LNGN0050,LNGN0219,174000,4.4282053028118864e-05,0.9966993486134434
LNGN0027,LNGN0037,174000,4.4282053028118864e-05,0.9967436306664715
LNGN0052,LNGN0178,174000,4.4282053028118864e-05,0.9967879127194996
CP011,LNGN0364,174000,4.4282053028118864e-05,0.9968321947725277
LNGN0101,LNGN0035,174000,4.4282053028118864e-05,0.9968764768255558
LNGN0069,CP005,174000,4.4282053028118864e-05,0.9969207588785839
CP015,LNGN0268,174000,4.4282053028118864e-05,0.996965040931612
LNGN0166,CP023,174000,4.4282053028118864e-05,0.9970093229846401
LNGN0083,LNGN0347,174000,4.4282053028118864e-05,0.9970536050376682
LNGN0083,LNGN0331,174000,4.4282053028118864e-05,0.9970978870906962
CP008,LNGN0055,174000,4.4282053028118864e-05,0.9971421691437243
LNGN0261,CP021,174000,4.4282053028118864e-05,0.9971864511967524
LNGN0138,CP018,174000,4.4282053028118864e-05,0.9972307332497805
LNGN0083,LNGN0210,174000,4.4282053028118864e-05,0.9972750153028086
CP014,LNGN0199,174000,4.4282053028118864e-05,0.9973192973558367
LNGN0274,LNGN0251,174000,4.4282053028118864e-05,0.9973635794088648
LNGN0274,LNGN0391,174000,4.4282053028118864e-05,0.9974078614618929
LNGN0288,CP011,174000,4.4282053028118864e-05,0.997452143514921
CP016,LNGN0291,174000,4.4282053028118864e-05,0.997496425567949
LNGN0142,CP006,174000,4.4282053028118864e-05,0.9975407076209771
CP023,LNGN0348,173673,4.4198833307772916e-05,0.9975849064542849
CP002,CP023,173673,4.4198833307772916e-05,0.9976291052875926
CP019,LNGN0190,173400,4.4129356293539144e-05,0.9976732346438861
LNGN0345,LNGN0219,173400,4.4129356293539144e-05,0.9977173640001796
CP008,CP023,173400,4.4129356293539144e-05,0.9977614933564731
LNGN0103,LNGN0037,173400,4.4129356293539144e-05,0.9978056227127666
LNGN0013,CP009,173400,4.4129356293539144e-05,0.9978497520690601
CP005,LNGN0391,172000,4.3773063912853135e-05,0.997893525132973
LNGN0288,CP013,172000,4.3773063912853135e-05,0.9979372981968859
CP024,CP008,172000,4.3773063912853135e-05,0.9979810712607988
LNGN0261,LNGN0258,172000,4.3773063912853135e-05,0.9980248443247117
LNGN0288,LNGN0291,172000,4.3773063912853135e-05,0.9980686173886246
LNGN0288,LNGN0359,172000,4.3773063912853135e-05,0.9981123904525375
CP007,LNGN0391,172000,4.3773063912853135e-05,0.9981561635164504
CP015,LNGN0115,172000,4.3773063912853135e-05,0.9981999365803633
CP009,LNGN0374,170200,4.331497370911397e-05,0.9982432515540725
LNGN0124,LNGN0374,170000,4.32640747975874e-05,0.99828651562887
CP015,CP004,170000,4.32640747975874e-05,0.9983297797036677
LNGN0378,LNGN0098,170000,4.32640747975874e-05,0.9983730437784653
LNGN0309,CP015,170000,4.32640747975874e-05,0.9984163078532629
CP005,CP004,170000,4.32640747975874e-05,0.9984595719280605
LNGN0206,LNGN0008,170000,4.32640747975874e-05,0.998502836002858
LNGN0261,LNGN0076,170000,4.32640747975874e-05,0.9985461000776557
LNGN0013,CP022,170000,4.32640747975874e-05,0.9985893641524533
LNGN0013,LNGN0385,170000,4.32640747975874e-05,0.9986326282272509
LNGN0013,LNGN0076,170000,4.32640747975874e-05,0.9986758923020485
LNGN0288,LNGN0324,170000,4.32640747975874e-05,0.998719156376846
LNGN0322,LNGN0199,167000,4.25005911246888e-05,0.9987616569679707
LNGN0274,LNGN0130,166000,4.224609656705593e-05,0.9988039030645378
CP018,CP016,165500,4.211884928823949e-05,0.9988460219138261
CP016,LNGN0230,165500,4.211884928823949e-05,0.9988881407631144
CP002,LNGN0212,165000,4.1991602009423064e-05,0.9989301323651238
LNGN0101,LNGN0331,164000,4.173710745179019e-05,0.9989718694725757
CP009,LNGN0219,162942,4.146785220981462e-05,0.9990133373247855
CP012,LNGN0425,160000,4.071912922125873e-05,0.9990540564540067
LNGN0166,LNGN0076,160000,4.071912922125873e-05,0.9990947755832279
LNGN0261,LNGN0055,160000,4.071912922125873e-05,0.9991354947124491
LNGN0101,LNGN0347,160000,4.071912922125873e-05,0.9991762138416703
CP014,LNGN0453,160000,4.071912922125873e-05,0.9992169329708915
CP023,LNGN0055,160000,4.071912922125873e-05,0.9992576521001127
LNGN0103,LNGN0109,160000,4.071912922125873e-05,0.999298371229334
LNGN0027,LNGN0307,160000,4.071912922125873e-05,0.9993390903585552
LNGN0180,CP015,160000,4.071912922125873e-05,0.9993798094877764
LNGN0027,LNGN0361,159800,4.066823030973215e-05,0.9994204777180861
LNGN0027,LNGN0178,159700,4.064278085396887e-05,0.99946112049894
LNGN0166,CP024,159274,4.0534366172417266e-05,0.9995016548651124
CP024,LNGN0055,159274,4.0534366172417266e-05,0.9995421892312849
LNGN0027,LNGN0362,155000,3.944665643309439e-05,0.999581635887718
LNGN0013,CP024,155000,3.944665643309439e-05,0.999621082544151
CP016,LNGN0472,155000,3.944665643309439e-05,0.9996605292005841
LNGN0166,LNGN0112,154880,3.941611708617845e-05,0.9996999453176703
LNGN0351,LNGN0425,150000,3.817418364493006e-05,0.9997381195013152
LNGN0351,LNGN0212,150000,3.817418364493006e-05,0.9997762936849601
LNGN0351,LNGN0199,150000,3.817418364493006e-05,0.9998144678686051
LNGN0166,LNGN0045,147208,3.746363484001909e-05,0.9998519315034451
CP002,LNGN0262,138000,3.512024895333565e-05,0.9998870517523984
CP005,LNGN0176,135000,3.435676528043705e-05,0.9999214085176789
CP010,LNGN0044,127876,3.2543746051860504e-05,0.9999539522637307
LNGN0423,LNGN0175,45000,1.1452255093479018e-05,0.9999654045188242
LNGN0423,LNGN0163,45000,1.1452255093479018e-05,0.9999768567739177
LNGN0423,LNGN0176,45000,1.1452255093479018e-05,0.9999883090290111
LNGN0435,LNGN0165,22969,5.845485494269323e-06,0.9999941545145055
LNGN0334,LNGN0122,22969,5.845485494269323e-06,0.9999999999999998
