from_node_id,to_node_id,cumulative_edge_flow,mean_monthly_edge_flow,active_months,cumulative_voyage_traversals
LNGN0050,CP024,493800,164600.0,3,3
LNGN0026,LNGN0428,491264,163754.66666666666,3,3
LNGN0026,LNGN0136,487717,162572.33333333334,3,3
CP002,LNGN0004,486158,162052.66666666666,3,3
LNGN0101,LNGN0428,485579,161859.66666666666,3,3
CP007,LNGN0208,474964,158321.33333333334,3,3
CP011,LNGN0156,464500,154833.33333333334,3,3
LNGN0103,CP010,461276,153758.66666666666,3,3
LNGN0378,LNGN0056,453000,75500.0,6,6
LNGN0166,LNGN0178,437028,145676.0,3,3
LNGN0166,LNGN0442,428130,214065.0,2,3
CP016,LNGN0174,417977,139325.66666666666,3,3
CP020,LNGN0190,414819,138273.0,3,3
LNGN0124,LNGN0248,360000,180000.0,2,2
CP022,LNGN0109,354000,177000.0,2,2
CP001,LNGN0098,350000,175000.0,2,2
CP022,LNGN0163,350000,175000.0,2,2
CP022,LNGN0174,348000,174000.0,2,2
CP024,LNGN0148,348000,174000.0,2,2
CP022,LNGN0429,348000,174000.0,2,2
CP024,LNGN0031,348000,174000.0,2,2
CP004,LNGN0391,348000,348000.0,1,2
CP013,LNGN0081,347673,173836.5,2,2
CP019,LNGN0268,347400,173700.0,2,2
CP023,LNGN0272,347400,173700.0,2,2
CP011,CP012,346800,173400.0,2,2
CP004,CP019,346800,173400.0,2,2
CP022,LNGN0148,346717,173358.5,2,2
LNGN0142,LNGN0208,345400,172700.0,2,2
CP024,CP009,344520,172260.0,2,2
LNGN0103,CP024,344000,172000.0,2,2
CP024,LNGN0258,344000,172000.0,2,2
LNGN0322,LNGN0426,341000,170500.0,2,2
CP024,LNGN0287,340000,340000.0,1,2
LNGN0050,LNGN0374,340000,170000.0,2,2
LNGN0013,LNGN0442,340000,170000.0,2,2
LNGN0309,LNGN0230,340000,170000.0,2,2
LNGN0309,LNGN0285,340000,170000.0,2,2
CP019,LNGN0150,338000,169000.0,2,2
CP022,LNGN0362,335000,167500.0,2,2
LNGN0101,LNGN0121,334813,167406.5,2,2
LNGN0124,LNGN0045,334000,167000.0,2,2
CP016,CP017,334000,167000.0,2,2
LNGN0423,CP012,334000,167000.0,2,2
CP022,LNGN0290,333800,166900.0,2,2
LNGN0083,LNGN0098,333800,166900.0,2,2
CP008,CP024,331062,165531.0,2,2
CP024,CP002,331062,165531.0,2,2
LNGN0322,LNGN0382,331000,165500.0,2,2
LNGN0261,CP002,329274,164637.0,2,2
CP001,LNGN0017,329000,164500.0,2,2
CP019,LNGN0163,327000,163500.0,2,2
CP008,LNGN0076,324800,162400.0,2,2
CP011,LNGN0473,324000,162000.0,2,2
LNGN0166,LNGN0374,319208,159604.0,2,2
CP013,LNGN0181,315000,157500.0,2,2
LNGN0166,LNGN0385,313894,156947.0,2,2
LNGN0274,CP006,310000,155000.0,2,2
CP016,LNGN0382,309948,154974.0,2,2
LNGN0083,LNGN0294,309000,154500.0,2,2
CP016,LNGN0212,307430,153715.0,2,2
CP019,LNGN0175,305914,152957.0,2,2
LNGN0308,LNGN0165,305473,152736.5,2,2
CP006,LNGN0391,303500,151750.0,2,2
CP011,LNGN0463,300000,150000.0,2,2
CP001,LNGN0294,297402,148701.0,2,2
LNGN0261,LNGN0287,280926,140463.0,2,2
CP020,CP005,276546,138273.0,2,2
LNGN0351,LNGN0081,275080,137540.0,2,2
CP011,LNGN0059,270000,270000.0,1,2
LNGN0351,LNGN0319,270000,135000.0,2,2
LNGN0334,LNGN0222,258845,21570.416666666668,12,13
CP010,LNGN0122,245814,22346.727272727272,11,12
LNGN0378,CP008,226500,75500.0,3,3
LNGN0026,LNGN0331,226500,75500.0,3,3
LNGN0435,LNGN0207,222845,37140.833333333336,6,9
LNGN0334,CP010,219752,24416.88888888889,9,10
LNGN0070,LNGN0442,180000,180000.0,1,1
LNGN0103,LNGN0076,180000,180000.0,1,1
LNGN0103,LNGN0178,180000,180000.0,1,1
LNGN0435,LNGN0299,180000,30000.0,6,10
LNGN0312,LNGN0374,180000,180000.0,1,1
CP020,LNGN0059,175000,175000.0,1,1
CP005,CP006,174198,174198.0,1,1
CP014,LNGN0199,174000,174000.0,1,1
CP006,CP019,174000,174000.0,1,1
CP002,LNGN0359,174000,174000.0,1,1
LNGN0423,LNGN0156,174000,174000.0,1,1
LNGN0261,CP021,174000,174000.0,1,1
CP005,LNGN0143,174000,174000.0,1,1
CP015,LNGN0268,174000,174000.0,1,1
CP011,LNGN0364,174000,174000.0,1,1
LNGN0013,CP008,174000,174000.0,1,1
LNGN0083,LNGN0210,174000,174000.0,1,1
LNGN0142,CP006,174000,174000.0,1,1
CP023,LNGN0243,174000,174000.0,1,1
LNGN0083,LNGN0347,174000,174000.0,1,1
LNGN0027,LNGN0037,174000,174000.0,1,1
LNGN0083,LNGN0331,174000,174000.0,1,1
LNGN0069,CP005,174000,174000.0,1,1
LNGN0050,LNGN0219,174000,174000.0,1,1
LNGN0101,LNGN0035,174000,174000.0,1,1
LNGN0075,CP023,174000,174000.0,1,1
LNGN0052,LNGN0178,174000,174000.0,1,1
CP022,LNGN0453,174000,174000.0,1,1
LNGN0288,CP011,174000,174000.0,1,1
LNGN0274,LNGN0391,174000,174000.0,1,1
CP019,LNGN0143,174000,174000.0,1,1
CP019,LNGN0059,174000,174000.0,1,1
LNGN0345,LNGN0344,174000,174000.0,1,1
LNGN0345,LNGN0045,174000,174000.0,1,1
CP007,CP005,174000,174000.0,1,1
CP008,LNGN0055,174000,174000.0,1,1
CP023,LNGN0429,174000,174000.0,1,1
LNGN0138,CP018,174000,174000.0,1,1
LNGN0166,CP023,174000,174000.0,1,1
CP016,LNGN0473,174000,174000.0,1,1
LNGN0322,LNGN0181,174000,174000.0,1,1
CP016,LNGN0291,174000,174000.0,1,1
CP018,LNGN0143,174000,174000.0,1,1
LNGN0274,LNGN0251,174000,174000.0,1,1
CP023,LNGN0348,173673,173673.0,1,1
CP019,LNGN0190,173400,173400.0,1,1
LNGN0345,LNGN0219,173400,173400.0,1,1
CP008,CP023,173400,173400.0,1,1
LNGN0103,LNGN0037,173400,173400.0,1,1
LNGN0013,CP009,173400,173400.0,1,1
CP023,LNGN0270,172000,172000.0,1,1
CP024,CP008,172000,172000.0,1,1
LNGN0288,LNGN0291,172000,172000.0,1,1
CP007,LNGN0391,172000,172000.0,1,1
CP005,LNGN0391,172000,172000.0,1,1
CP013,LNGN0426,172000,172000.0,1,1
LNGN0261,LNGN0258,172000,172000.0,1,1
LNGN0288,LNGN0359,172000,172000.0,1,1
LNGN0288,CP013,172000,172000.0,1,1
CP015,LNGN0115,172000,172000.0,1,1
CP009,LNGN0374,170200,170200.0,1,1
CP013,LNGN0319,170000,170000.0,1,1
LNGN0261,LNGN0076,170000,170000.0,1,1
CP022,CP013,170000,170000.0,1,1
CP016,LNGN0175,170000,170000.0,1,1
LNGN0309,CP004,170000,170000.0,1,1
LNGN0288,LNGN0324,170000,170000.0,1,1
LNGN0206,LNGN0008,170000,170000.0,1,1
