period_month,active_edges,voyage_edge_traversals,total_edge_flow_exposure,unique_export_voyages,global_export_lng_volume,edge_flow_hhi,top_1_edge_flow_share,top_5_edge_flow_share,top_10_edge_flow_share,active_chokepoints,chokepoint_flow_hhi,top_1_chokepoint_flow_share,top_5_chokepoint_flow_share,mean_edge_traversals_per_voyage,voyages_vs_median,volume_vs_median,active_edges_vs_median,qa_low_voyages,qa_low_volume,qa_low_active_edges,qa_low_activity_watch
2023-04-01,169,498,87149515,201,33706754,0.02049385393856675,0.09393655260158361,0.23943669680777913,0.32928217672812066,21,0.08794959929473796,0.1796690294500316,0.5599611891309284,2.4776119402985075,1.4006968641114983,1.4241486580880665,1.2659176029962547,False,False,False,False
2023-05-01,183,508,88995105,208,34638525,0.021418919155632023,0.09838370323850958,0.24992413908607672,0.3402834459266046,21,0.09158530654077685,0.1718406124888652,0.5878846498436804,2.4423076923076925,1.4494773519163764,1.4635170416261365,1.3707865168539326,False,False,False,False
2023-06-01,169,515,88479119,189,30845426,0.021508343789165392,0.09137916484001157,0.24694597151221637,0.3584170068420324,20,0.08150746843568138,0.15399778390046948,0.5239894830268815,2.7248677248677247,1.3170731707317074,1.30325429870983,1.2659176029962547,False,False,False,False
2023-07-01,167,505,87319174,182,30129450,0.019334622724441534,0.08045965940997106,0.224228472431496,0.3379258832659136,22,0.07863346273031203,0.1445388510705175,0.511178144521208,2.7747252747252746,1.2682926829268293,1.273003499133482,1.250936329588015,False,False,False,False
2023-08-01,152,445,76554648,173,28552337,0.021536462921598516,0.09351352513566517,0.24881885682499644,0.33146297008641457,21,0.08053167998060676,0.16134000298443965,0.5300406265856659,2.5722543352601157,1.2055749128919862,1.206368682781743,1.1385767790262171,False,False,False,False
2023-09-01,181,471,80458537,190,31048066,0.018412708784299615,0.09157469517498186,0.21704364323701286,0.2932626403584743,22,0.08425361492742273,0.1675429890154255,0.5659635990921843,2.4789473684210526,1.32404181184669,1.31181606897329,1.3558052434456929,False,False,False,False
2023-10-01,177,565,96764221,226,37732437,0.017150229629301253,0.07237955235541037,0.2054035034292272,0.3072369486651476,20,0.07097895606360771,0.12557389422620194,0.5058435130471408,2.5,1.5749128919860627,1.5942383392937363,1.3258426966292134,False,False,False,False
2023-11-01,188,515,88682106,203,33538215,0.019987968136217418,0.09052383126760656,0.23902350717742316,0.3346250482594539,22,0.08117911756448384,0.1620731478669142,0.5334610863785437,2.5369458128078817,1.4146341463414633,1.417027693824183,1.408239700374532,False,False,False,False
2023-12-01,192,603,103424002,237,38768381,0.01832164401157828,0.07980743193441693,0.21491345887002128,0.3118962269512641,21,0.07689861838559936,0.14196977552810142,0.5375080845639082,2.5443037974683542,1.651567944250871,1.6380081504554513,1.4382022471910112,False,False,False,False
2024-01-01,186,520,91610103,213,35284545,0.022181451063961237,0.09426487600390537,0.250399489235374,0.35032336990168,22,0.0787430085435934,0.16453882267797507,0.5472437751970428,2.4413145539906105,1.4843205574912892,1.490812120710229,1.3932584269662922,False,False,False,False
2024-02-01,179,462,79339148,209,34218584,0.018174924815833188,0.08313656204122585,0.2179147802293012,0.3044158729811417,19,0.08730779745512236,0.1589271800769157,0.5944125831405831,2.210526315789474,1.456445993031359,1.4457740571896593,1.3408239700374531,False,False,False,False
2024-03-01,176,513,87636756,205,33211928,0.017803350995810353,0.0783546689017106,0.22278366853286993,0.3034784172065885,21,0.07559359975208468,0.14823791450475507,0.5203488011023204,2.502439024390244,1.4285714285714286,1.403241697308423,1.3183520599250935,False,False,False,False
2024-04-01,184,497,84961944,197,31834679,0.01904123733231865,0.08929457875869695,0.2186826257176978,0.3190886616247858,21,0.08109197503827908,0.16531701754268735,0.5507692519086009,2.5228426395939088,1.372822299651568,1.3450513620657256,1.3782771535580525,False,False,False,False
2024-05-01,143,357,63566048,147,24579945,0.023323420354037075,0.09939746450809715,0.25199976251473116,0.35836182548268536,20,0.08702433982334669,0.1693322361560477,0.5643378359719615,2.4285714285714284,1.024390243902439,1.0385306068815905,1.0711610486891385,False,False,False,False
2024-06-01,112,235,41783094,109,18831260,0.023882134914907704,0.09864987499489626,0.2423027600588889,0.35133872565779833,19,0.11289643170316051,0.211260808177682,0.6573613245895731,2.1559633027522938,0.759581881533101,0.7956421332978987,0.8389513108614233,False,False,False,False
2024-07-01,125,284,51413947,119,20891007,0.027729119336981536,0.1080688086444715,0.28902620528239154,0.40437274734032774,20,0.1080912547395407,0.21412124782212985,0.6481897877465277,2.3865546218487395,0.8292682926829268,0.8826687845752932,0.9363295880149812,False,False,False,False
2024-08-01,130,287,48898138,120,19815927,0.021541110086998154,0.09247213053388659,0.23466322991685287,0.34717561229018573,22,0.08754951405386226,0.18596608765406455,0.56213050651479,2.3916666666666666,0.8362369337979094,0.8372454329426406,0.9737827715355806,False,False,False,False
2024-09-01,112,284,50755151,108,18591492,0.02527708826942967,0.10087912062363877,0.2530962620917037,0.3606382138435565,20,0.09500337217380773,0.18260773750896936,0.5780561222838484,2.6296296296296298,0.7526132404181185,0.7855116628452274,0.8389513108614233,False,False,False,False
2024-10-01,107,267,46134146,115,18973395,0.02342067005722475,0.09187303477992201,0.23486683811162343,0.3695464526426911,18,0.10865592460931965,0.18858130984669755,0.6502424767268032,2.3217391304347825,0.8013937282229965,0.8016474985584441,0.8014981273408239,False,False,False,False
2024-11-01,88,174,29704377,70,11479472,0.028884618493051947,0.08920974844885654,0.3013270401193736,0.4208266007396822,20,0.11289812936419297,0.19805217091666596,0.6667205672677031,2.4857142857142858,0.4878048780487805,0.4850207363295656,0.6591760299625468,True,True,True,True
2024-12-01,91,182,33442468,82,14334265,0.03558388467764001,0.130742982246406,0.32047084563256517,0.4309498031066368,17,0.13717249341666302,0.2616250727501691,0.7201761463388263,2.2195121951219514,0.5714285714285714,0.6056389845319646,0.6816479400749064,True,True,True,True
