metric,previous_month,current_month,spearman_rank_correlation
total_degree,2024-01-01,2024-02-01,0.76726792627842
total_degree,2024-02-01,2024-03-01,0.8259854977874439
total_degree,2024-03-01,2024-04-01,0.7751006577835693
total_degree,2024-04-01,2024-05-01,0.6928708005191854
total_degree,2024-05-01,2024-06-01,0.7137079691795755
total_degree,2024-06-01,2024-07-01,0.6504134732170115
total_degree,2024-07-01,2024-08-01,0.7093479379680789
total_degree,2024-08-01,2024-09-01,0.7107321241000735
total_degree,2024-09-01,2024-10-01,0.7810364009670043
total_degree,2024-10-01,2024-11-01,0.6879012921497614
total_degree,2024-11-01,2024-12-01,0.7133777411632474
total_strength,2020-01-01,2020-02-01,0.8548300873513858
total_strength,2020-02-01,2020-03-01,0.8288031322961623
total_strength,2020-03-01,2020-04-01,0.7980135169422212
total_strength,2020-04-01,2020-05-01,0.7902617962037071
total_strength,2020-05-01,2020-06-01,0.7528994742989795
total_strength,2020-06-01,2020-07-01,0.7086364025834465
total_strength,2020-07-01,2020-08-01,0.7417209613931288
total_strength,2020-08-01,2020-09-01,0.7224125041900602
total_strength,2020-09-01,2020-10-01,0.8110584839171169
total_strength,2020-10-01,2020-11-01,0.8159572887433497
total_strength,2020-11-01,2020-12-01,0.7568130890344114
total_strength,2020-12-01,2021-01-01,0.7854907324489225
total_strength,2021-01-01,2021-02-01,0.7280063782283839
total_strength,2021-02-01,2021-03-01,0.8103109488196792
total_strength,2021-03-01,2021-04-01,0.8365378396828166
total_strength,2021-04-01,2021-05-01,0.8256690879325427
total_strength,2021-05-01,2021-06-01,0.7846372512443679
total_strength,2021-06-01,2021-07-01,0.8314468528092986
total_strength,2021-07-01,2021-08-01,0.8085647325386344
total_strength,2021-08-01,2021-09-01,0.7980080346977952
total_strength,2021-09-01,2021-10-01,0.8865987160739908
total_strength,2021-10-01,2021-11-01,0.8463898724972111
total_strength,2021-11-01,2021-12-01,0.8009698589323769
total_strength,2021-12-01,2022-01-01,0.7922947774975994
total_strength,2022-01-01,2022-02-01,0.8228080991780377
total_strength,2022-02-01,2022-03-01,0.8228332401077769
total_strength,2022-03-01,2022-04-01,0.847125909799897
total_strength,2022-04-01,2022-05-01,0.8571007333835944
total_strength,2022-05-01,2022-06-01,0.846295306318515
total_strength,2022-06-01,2022-07-01,0.8370234239311828
total_strength,2022-07-01,2022-08-01,0.828752729785701
total_strength,2022-08-01,2022-09-01,0.8205802259125108
total_strength,2022-09-01,2022-10-01,0.8397745238347282
total_strength,2022-10-01,2022-11-01,0.8607551325854998
total_strength,2022-11-01,2022-12-01,0.8476669918015411
total_strength,2022-12-01,2023-01-01,0.8537222645738665
total_strength,2023-01-01,2023-02-01,0.8180182806693481
total_strength,2023-02-01,2023-03-01,0.8155585835525857
total_strength,2023-03-01,2023-04-01,0.7949434738338296
total_strength,2023-04-01,2023-05-01,0.7790989855502605
total_strength,2023-05-01,2023-06-01,0.8463243646485095
total_strength,2023-06-01,2023-07-01,0.7610507527913716
total_strength,2023-07-01,2023-08-01,0.7764371514383809
total_strength,2023-08-01,2023-09-01,0.7922598558644453
total_strength,2023-09-01,2023-10-01,0.8068670878840255
total_strength,2023-10-01,2023-11-01,0.8049768719445699
total_strength,2023-11-01,2023-12-01,0.8177627381004002
total_strength,2023-12-01,2024-01-01,0.803467062777891
total_strength,2024-01-01,2024-02-01,0.8105472391051729
total_strength,2024-02-01,2024-03-01,0.8438139914474241
total_strength,2024-03-01,2024-04-01,0.815657385136618
total_strength,2024-04-01,2024-05-01,0.7191009717649366
total_strength,2024-05-01,2024-06-01,0.7290600623740893
total_strength,2024-06-01,2024-07-01,0.6831248405044462
total_strength,2024-07-01,2024-08-01,0.7197518735008056
total_strength,2024-08-01,2024-09-01,0.6808570199347072
total_strength,2024-09-01,2024-10-01,0.7709035362812098
total_strength,2024-10-01,2024-11-01,0.6897696143711328
total_strength,2024-11-01,2024-12-01,0.738949376648153
betweenness,2020-01-01,2020-02-01,0.9502709491269282
betweenness,2020-02-01,2020-03-01,0.9500095019638599
betweenness,2020-03-01,2020-04-01,0.9756490437365352
betweenness,2020-04-01,2020-05-01,0.9996811436780603
betweenness,2020-05-01,2020-06-01,0.9744486595103496
betweenness,2020-06-01,2020-07-01,0.8902363636422418
betweenness,2020-07-01,2020-08-01,0.8973365210744116
betweenness,2020-08-01,2020-09-01,0.9229802251976628
betweenness,2020-09-01,2020-10-01,0.9994060873434855
betweenness,2020-10-01,2020-11-01,0.9752779860994719
betweenness,2020-11-01,2020-12-01,0.951689136194306
betweenness,2020-12-01,2021-01-01,0.9493904406931113
betweenness,2021-01-01,2021-02-01,0.9696612786658322
betweenness,2021-02-01,2021-03-01,0.9751650442074365
betweenness,2021-03-01,2021-04-01,0.9257970245789343
betweenness,2021-04-01,2021-05-01,0.9250588235885512
betweenness,2021-05-01,2021-06-01,0.9339234499419715
betweenness,2021-06-01,2021-07-01,0.9764585861296414
betweenness,2021-07-01,2021-08-01,0.953205389634894
betweenness,2021-08-01,2021-09-01,0.9517876842313522
betweenness,2021-09-01,2021-10-01,0.975797890697917
betweenness,2021-10-01,2021-11-01,0.9757210246452873
betweenness,2021-11-01,2021-12-01,0.9749105037645638
betweenness,2021-12-01,2022-01-01,0.9527452719701581
betweenness,2022-01-01,2022-02-01,0.9758884411624782
betweenness,2022-02-01,2022-03-01,0.9244113853893244
betweenness,2022-03-01,2022-04-01,0.9480824503601384
betweenness,2022-04-01,2022-05-01,0.9769960361982033
betweenness,2022-05-01,2022-06-01,0.9757825826052592
betweenness,2022-06-01,2022-07-01,0.9488288162021059
betweenness,2022-07-01,2022-08-01,0.9488007848771002
betweenness,2022-08-01,2022-09-01,0.925867462056731
betweenness,2022-09-01,2022-10-01,0.9283734588482775
betweenness,2022-10-01,2022-11-01,0.9540939802802798
betweenness,2022-11-01,2022-12-01,0.9536363684573135
betweenness,2022-12-01,2023-01-01,0.9758594487606252
betweenness,2023-01-01,2023-02-01,0.9993157337837253
betweenness,2023-02-01,2023-03-01,0.9241216979258517
betweenness,2023-03-01,2023-04-01,0.9201487223185468
betweenness,2023-04-01,2023-05-01,0.8927759134487129
betweenness,2023-05-01,2023-06-01,0.9702680254339652
betweenness,2023-06-01,2023-07-01,0.9042384586333351
betweenness,2023-07-01,2023-08-01,0.9768524906419213
betweenness,2023-08-01,2023-09-01,0.9011836136599565
betweenness,2023-09-01,2023-10-01,0.9221313240519976
betweenness,2023-10-01,2023-11-01,0.9535812173901753
betweenness,2023-11-01,2023-12-01,0.9767172508303745
betweenness,2023-12-01,2024-01-01,0.9214657774627383
betweenness,2024-01-01,2024-02-01,0.944770331236392
betweenness,2024-02-01,2024-03-01,0.9755278019099848
betweenness,2024-03-01,2024-04-01,0.9465089187962297
betweenness,2024-04-01,2024-05-01,0.9173316924870808
betweenness,2024-05-01,2024-06-01,0.9154685474373141
betweenness,2024-06-01,2024-07-01,0.8006876085662505
betweenness,2024-07-01,2024-08-01,0.9274052674001999
betweenness,2024-08-01,2024-09-01,0.8964857373030428
