metric,previous_month,current_month,spearman_month_to_month
pagerank,2023-12-01,2024-01-01,0.7141042857406813
pagerank,2024-01-01,2024-02-01,0.6824025250154906
pagerank,2024-02-01,2024-03-01,0.766974395910042
pagerank,2024-03-01,2024-04-01,0.7281713620284098
pagerank,2024-04-01,2024-05-01,0.5939345021010081
pagerank,2024-05-01,2024-06-01,0.5959741522891204
pagerank,2024-06-01,2024-07-01,0.5488908927852189
pagerank,2024-07-01,2024-08-01,0.6461725306613791
pagerank,2024-08-01,2024-09-01,0.6057818307649209
pagerank,2024-09-01,2024-10-01,0.6466239685083873
pagerank,2024-10-01,2024-11-01,0.5892367350184714
pagerank,2024-11-01,2024-12-01,0.6227176918419799
eigenvector,2020-01-01,2020-02-01,
eigenvector,2020-02-01,2020-03-01,0.783727708292938
eigenvector,2020-03-01,2020-04-01,0.7848899007093375
eigenvector,2020-04-01,2020-05-01,0.7527933053498719
eigenvector,2020-05-01,2020-06-01,0.7010161552195737
eigenvector,2020-06-01,2020-07-01,0.6853115988463743
eigenvector,2020-07-01,2020-08-01,0.6979995756489212
eigenvector,2020-08-01,2020-09-01,0.6337633980111264
eigenvector,2020-09-01,2020-10-01,0.7155323283368248
eigenvector,2020-10-01,2020-11-01,0.7972471706019185
eigenvector,2020-11-01,2020-12-01,
eigenvector,2020-12-01,2021-01-01,
eigenvector,2021-01-01,2021-02-01,
eigenvector,2021-02-01,2021-03-01,
eigenvector,2021-03-01,2021-04-01,
eigenvector,2021-04-01,2021-05-01,
eigenvector,2021-05-01,2021-06-01,0.7155487107716353
eigenvector,2021-06-01,2021-07-01,0.774939820203123
eigenvector,2021-07-01,2021-08-01,0.7637472896789895
eigenvector,2021-08-01,2021-09-01,0.7196677797607586
eigenvector,2021-09-01,2021-10-01,0.8255790471662527
eigenvector,2021-10-01,2021-11-01,0.7610528452863158
eigenvector,2021-11-01,2021-12-01,
eigenvector,2021-12-01,2022-01-01,
eigenvector,2022-01-01,2022-02-01,
eigenvector,2022-02-01,2022-03-01,
eigenvector,2022-03-01,2022-04-01,0.7942002050982744
eigenvector,2022-04-01,2022-05-01,0.839206872579495
eigenvector,2022-05-01,2022-06-01,0.7639521838562094
eigenvector,2022-06-01,2022-07-01,0.7653946856865145
eigenvector,2022-07-01,2022-08-01,0.7843631883327278
eigenvector,2022-08-01,2022-09-01,0.7741792289487106
eigenvector,2022-09-01,2022-10-01,0.7741217389570829
eigenvector,2022-10-01,2022-11-01,0.7743034579260922
eigenvector,2022-11-01,2022-12-01,0.7783404983114575
eigenvector,2022-12-01,2023-01-01,0.7922983950212518
eigenvector,2023-01-01,2023-02-01,0.6991624270298227
eigenvector,2023-02-01,2023-03-01,0.7082493453033151
eigenvector,2023-03-01,2023-04-01,0.7435039872399263
eigenvector,2023-04-01,2023-05-01,0.6670078486932033
eigenvector,2023-05-01,2023-06-01,0.7437000897989832
eigenvector,2023-06-01,2023-07-01,0.6548647367336243
eigenvector,2023-07-01,2023-08-01,0.6659111712108763
eigenvector,2023-08-01,2023-09-01,0.6782760763589634
eigenvector,2023-09-01,2023-10-01,0.6998878945583373
eigenvector,2023-10-01,2023-11-01,0.748584389498799
eigenvector,2023-11-01,2023-12-01,0.7238466861584885
eigenvector,2023-12-01,2024-01-01,0.7280274723506142
eigenvector,2024-01-01,2024-02-01,0.7221794612674219
eigenvector,2024-02-01,2024-03-01,0.7472345844534823
eigenvector,2024-03-01,2024-04-01,0.7031666965059619
eigenvector,2024-04-01,2024-05-01,0.6737915634562026
eigenvector,2024-05-01,2024-06-01,0.7047473012181434
eigenvector,2024-06-01,2024-07-01,0.613794801604677
eigenvector,2024-07-01,2024-08-01,0.6387749341038811
eigenvector,2024-08-01,2024-09-01,0.635650009384137
eigenvector,2024-09-01,2024-10-01,0.6893775680160127
eigenvector,2024-10-01,2024-11-01,0.6517255290760378
eigenvector,2024-11-01,2024-12-01,0.7003262728840671
share_monthly_network_flow,2020-01-01,2020-02-01,0.8560745691916074
share_monthly_network_flow,2020-02-01,2020-03-01,0.8258279466952648
share_monthly_network_flow,2020-03-01,2020-04-01,0.798101622344385
share_monthly_network_flow,2020-04-01,2020-05-01,0.7906780936301004
share_monthly_network_flow,2020-05-01,2020-06-01,0.749820137357027
share_monthly_network_flow,2020-06-01,2020-07-01,0.7111107008438741
share_monthly_network_flow,2020-07-01,2020-08-01,0.74890391253152
share_monthly_network_flow,2020-08-01,2020-09-01,0.7228213731029667
share_monthly_network_flow,2020-09-01,2020-10-01,0.8085522873042662
share_monthly_network_flow,2020-10-01,2020-11-01,0.8179058761048447
share_monthly_network_flow,2020-11-01,2020-12-01,0.7613607787225104
share_monthly_network_flow,2020-12-01,2021-01-01,0.7882998340818906
share_monthly_network_flow,2021-01-01,2021-02-01,0.7115571747210115
share_monthly_network_flow,2021-02-01,2021-03-01,0.8025577596063691
