node_id,node_type,metric,months,active_months,mean,std,coefficient_of_variation,min,max,lag1_autocorrelation,mean_absolute_monthly_change,mean_rank,median_rank,best_rank,worst_rank,rank_std,mean_percentile_rank,top_5pct_months,top_10pct_months,top_20pct_months,months_observed,top_5pct_share,top_10pct_share,top_20pct_share
CP005,chokepoint,total_voyages,60,60,20.283333333333335,7.535434185339417,0.3715086697784429,3.0,35.0,0.7860555428791866,3.76271186440678,6.516666666666667,5.0,2.0,38.0,5.123861317625594,0.9685828877005348,54,59,60,60,0.9,0.9833333333333333,1.0
CP006,chokepoint,betweenness,60,60,0.018125010650263614,0.01024684869302224,0.565343043970747,0.003083414475819539,0.04978070175438597,0.3614991331232565,0.008015535764416177,6.683333333333334,6.5,1.0,17.0,2.5742641974343057,0.9696078431372549,57,60,60,60,0.95,1.0,1.0
CP006,chokepoint,node_throughput,60,60,6807125.583333333,2089634.2075004687,0.30697747263790165,572054.0,10702065.0,0.7045754788581383,1314912.847457627,2.066666666666667,1.0,1.0,37.0,4.650010631176717,0.9942513368983957,59,59,60,60,0.9833333333333333,0.9833333333333333,1.0
CP006,chokepoint,pagerank,60,60,0.018189407653040855,0.0031815809429463415,0.17491393912513986,0.012748940690111829,0.02869977638919852,0.4392738269552331,0.002462886301329166,10.533333333333333,9.0,3.0,30.0,4.720911527418991,0.9489750445632799,34,59,60,60,0.5666666666666667,0.9833333333333333,1.0
CP006,chokepoint,share_monthly_network_flow,60,60,0.07663744444405983,0.01654346684797968,0.21586662979159352,0.010257601070419495,0.11319741644409921,0.5661709639917004,0.011881773769979675,2.066666666666667,1.0,1.0,37.0,4.650010631176717,0.9942513368983957,59,59,60,60,0.9833333333333333,0.9833333333333333,1.0
CP006,chokepoint,total_degree,60,60,7.716666666666667,1.70832127596682,0.2213807269071473,3.0,12.0,0.539447334798977,1.2372881355932204,6.3,6.0,2.0,19.0,2.451564702700181,0.9673796791443849,58,60,60,60,0.9666666666666667,1.0,1.0
CP006,chokepoint,total_route_exposure,60,60,20.25,5.82695373505818,0.28775080173126816,3.0,31.0,0.6901611491530656,3.830508474576271,1.8333333333333333,1.0,1.0,27.0,3.4057113877275587,0.9941176470588236,59,59,60,60,0.9833333333333333,0.9833333333333333,1.0
CP006,chokepoint,total_voyages,60,60,34.016666666666666,11.23175230705368,0.33018380128526253,3.0,55.0,0.7328993724196753,6.627118644067797,2.1,1.0,1.0,38.0,4.870179059110312,0.9931372549019607,59,59,60,60,0.9833333333333333,0.9833333333333333,1.0
CP007,chokepoint,betweenness,60,59,0.0033060217545446743,0.003158906941087919,0.9555009542043933,0.0,0.012671821305841924,-0.022832546164275522,0.0034459445620469327,16.716666666666665,18.0,7.0,22.0,3.8492423496925565,0.9007130124777184,5,42,60,60,0.08333333333333333,0.7,1.0
CP007,chokepoint,node_throughput,60,59,671345.6333333333,368892.305038718,0.549481945994214,0.0,1627886.0,0.3455448810092763,327184.16949152545,42.05,40.0,13.0,84.0,16.2422602167664,0.7749108734402852,0,3,27,60,0.0,0.05,0.45
CP007,chokepoint,pagerank,60,59,0.010767642181501237,0.00346253003065171,0.3215680807633376,0.0,0.017835850358701312,0.10272142841891926,0.003446722834591648,37.1,33.5,7.0,84.0,19.661284334827045,0.8022727272727272,1,12,32,60,0.016666666666666666,0.2,0.5333333333333333
CP007,chokepoint,share_monthly_network_flow,60,59,0.00749232127566395,0.0039658385471467664,0.5293204070183608,0.0,0.021240272048104473,0.17887359370180653,0.003836354010169476,42.05,40.0,13.0,84.0,16.2422602167664,0.7749108734402852,0,3,27,60,0.0,0.05,0.45
CP007,chokepoint,total_degree,60,59,3.8833333333333333,1.6477171333127631,0.4243048411964197,0.0,9.0,0.36250192189527325,1.3898305084745763,19.216666666666665,18.5,6.0,84.0,10.60554966118302,0.8749108734402852,8,32,59,60,0.13333333333333333,0.5333333333333333,0.9833333333333333
