node_id,node_type,metric,months,active_months,mean,std,coefficient_of_variation,min,max,lag1_autocorrelation,mean_absolute_monthly_change
LNGN0347,terminal,eigenvector,60,48,0.001313985138766406,0.0022919785919022963,1.744295672973934,0.0,0.01150060217510526,0.018693177480191805,0.0018988751286293062
LNGN0347,terminal,share_monthly_network_flow,60,48,0.0032560428083252837,0.0026609849312787277,0.8172450695288559,0.0,0.010963728875131919,0.2017842847214733,0.00237822440520941
LNGN0348,terminal,node_throughput,60,6,24060.5,83996.905855342,3.491070669991979,0.0,504520.0,0.04188589425336059,40973.898305084746
LNGN0348,terminal,total_voyages,60,6,0.15,0.5150283849343992,3.433522566229328,0.0,3.0,0.05106825697475638,0.2542372881355932
LNGN0348,terminal,total_route_exposure,60,6,0.1,0.30253169045376643,3.025316904537664,0.0,1.0,0.09896976882324748,0.15254237288135594
LNGN0348,terminal,total_degree,60,6,0.1,0.30253169045376643,3.025316904537664,0.0,1.0,0.09896976882324748,0.15254237288135594
LNGN0348,terminal,total_strength,60,6,24060.5,83996.905855342,3.491070669991979,0.0,504520.0,0.04188589425336059,40973.898305084746
LNGN0348,terminal,betweenness,60,6,0.0,0.0,,0.0,0.0,,0.0
LNGN0348,terminal,pagerank,60,6,0.0010026347565726664,0.0030989792423493237,3.0908356428243606,0.0,0.012340653267248598,0.15806201864047628,0.0015143025843737767
LNGN0348,terminal,eigenvector,60,6,9.871310779200117e-08,6.411649031055328e-07,6.495235713341477,0.0,4.871813401493195e-06,-0.02452370690839021,2.0077242262779902e-07
LNGN0348,terminal,share_monthly_network_flow,60,6,0.0003211204187496725,0.0010619341680817315,3.3069655682952876,0.0,0.005757259403262403,0.16438509505136312,0.0005176556570371656
LNGN0351,terminal,node_throughput,60,33,115338.66666666667,121148.93766144701,1.050375742694965,0.0,450000.0,0.06925687833212596,113139.66101694915
LNGN0351,terminal,total_voyages,60,33,0.8166666666666667,0.8535403174111507,1.0451514090748784,0.0,3.0,0.11843637241519725,0.7796610169491526
LNGN0351,terminal,total_route_exposure,60,33,0.75,0.7945790912196153,1.0594387882928205,0.0,3.0,0.06092448354184524,0.711864406779661
LNGN0351,terminal,total_degree,60,33,0.7166666666666667,0.7385663314751766,1.0305576718258278,0.0,2.0,0.16469569773592832,0.6440677966101694
LNGN0351,terminal,total_strength,60,33,115338.66666666667,121148.93766144701,1.050375742694965,0.0,450000.0,0.06925687833212596,113139.66101694915
LNGN0351,terminal,betweenness,60,33,0.0,0.0,,0.0,0.0,,0.0
LNGN0351,terminal,pagerank,60,33,0.003477396819676529,0.0032303554651304384,0.9289579627069795,0.0,0.007890287825063779,0.1296034522097412,0.0027564554409510054
LNGN0351,terminal,eigenvector,60,33,0.0003230763516186852,0.0013829149315133314,4.280458549765764,0.0,0.010075946137465574,-0.053140559709416335,0.0006403878605268088
LNGN0351,terminal,share_monthly_network_flow,60,33,0.0014153244878439561,0.0016049217511757655,1.1339602790457146,0.0,0.005675333146312188,-0.06079703132131967,0.0015227641235647821
LNGN0354,terminal,node_throughput,60,17,59871.46666666667,103388.21378708316,1.7268361632544467,0.0,351000.0,0.11176174063279945,87372.47457627118
LNGN0354,terminal,total_voyages,60,17,0.35,0.6057632809459259,1.7307522312740742,0.0,2.0,0.11732283464566923,0.5084745762711864
LNGN0354,terminal,total_route_exposure,60,17,0.31666666666666665,0.5365194379932872,1.6942719094524858,0.0,2.0,0.1706827309236947,0.4406779661016949
LNGN0354,terminal,total_degree,60,17,0.3,0.4974511303823161,1.6581704346077204,0.0,2.0,0.10397196261682246,0.4067796610169492
LNGN0354,terminal,total_strength,60,17,59871.46666666667,103388.21378708316,1.7268361632544467,0.0,351000.0,0.11176174063279945,87372.47457627118
LNGN0354,terminal,betweenness,60,17,0.0,0.0,,0.0,0.0,,0.0
LNGN0354,terminal,pagerank,60,17,0.002496461828300651,0.00409004209776336,1.6383355240594504,0.0,0.012565067434154996,0.13342413113509616,0.003423081256949536
LNGN0354,terminal,eigenvector,60,17,0.0004250591701668136,0.001821889948897952,4.286203137748927,0.0,0.012091135364958688,0.034773701149430195,0.0007746181049681325
LNGN0354,terminal,share_monthly_network_flow,60,17,0.000681289015446615,0.0011720763241173876,1.7203804810342347,0.0,0.004026172362953427,0.14593660390648455,0.000977608514217398
LNGN0359,terminal,node_throughput,60,46,197509.73333333334,159432.1711853566,0.8072117180994114,0.0,647000.0,0.05312619420181166,153680.0338983051
LNGN0359,terminal,total_voyages,60,46,1.25,1.002116404483827,0.8016931235870617,0.0,4.0,0.07226383313926327,0.9491525423728814
LNGN0359,terminal,total_route_exposure,60,46,1.0666666666666667,0.8410378307593313,0.788472966336873,0.0,3.0,0.0646686142945918,0.7288135593220338
LNGN0359,terminal,total_degree,60,46,1.0166666666666666,0.7917298517752698,0.7787506738773146,0.0,3.0,0.08136595854747136,0.6610169491525424
LNGN0359,terminal,total_strength,60,46,197509.73333333334,159432.1711853566,0.8072117180994114,0.0,647000.0,0.05312619420181166,153680.0338983051
LNGN0359,terminal,betweenness,60,46,0.0,0.0,,0.0,0.0,,0.0
LNGN0359,terminal,pagerank,60,46,0.007106824940811609,0.004330537711436325,0.6093491464194941,0.0,0.015404107407344153,0.22622705499788284,0.0033901400947538777
LNGN0359,terminal,eigenvector,60,46,0.0006017602932682112,0.0032442253686571047,5.391225384841266,0.0,0.02481266921841224,-0.023595357536650974,0.0011167959421716609
LNGN0359,terminal,share_monthly_network_flow,60,46,0.002346333002542367,0.0021067829103150705,0.8979044781931073,0.0,0.009899545700455653,0.14923021707548342,0.0018269743636399678
LNGN0361,terminal,node_throughput,60,1,2663.3333333333335,20630.091290798166,7.7459666924148305,0.0,159800.0,-0.017241379310344754,5416.949152542373
LNGN0361,terminal,total_voyages,60,1,0.016666666666666666,0.12909944487358058,7.745966692414835,0.0,1.0,-0.01724137931034484,0.03389830508474576
LNGN0361,terminal,total_route_exposure,60,1,0.016666666666666666,0.12909944487358058,7.745966692414835,0.0,1.0,-0.01724137931034484,0.03389830508474576
LNGN0361,terminal,total_degree,60,1,0.016666666666666666,0.12909944487358058,7.745966692414835,0.0,1.0,-0.01724137931034484,0.03389830508474576
LNGN0361,terminal,total_strength,60,1,2663.3333333333335,20630.091290798166,7.7459666924148305,0.0,159800.0,-0.017241379310344754,5416.949152542373
LNGN0361,terminal,betweenness,60,1,0.0,0.0,,0.0,0.0,,0.0
LNGN0361,terminal,pagerank,60,1,0.0001758608761842368,0.0013622124894219875,7.745966692414835,0.0,0.010551652571054209,-0.017241379310344793,0.0003576831380018376
LNGN0361,terminal,eigenvector,60,1,4.793176670826607e-07,3.7127786843082717e-06,7.745966692414833,0.0,2.8759060024959643e-05,-0.017241379310344793,9.748833906765981e-07
