node_id,node_type,metric,mean_rank,median_rank,best_rank,worst_rank,rank_std,mean_percentile_rank,top_5pct_months,top_10pct_months,top_20pct_months,months_observed,top_5pct_share,top_10pct_share,top_20pct_share
LNGN0391,terminal,total_route_exposure,93.81666666666666,94.0,53.0,127.0,15.523073768073116,0.2751782531194296,0,0,0,60,0.0,0.0,0.0
LNGN0391,terminal,total_strength,95.11666666666666,94.5,63.0,127.0,14.127856443339727,0.27450980392156865,0,0,0,60,0.0,0.0,0.0
LNGN0391,terminal,total_voyages,94.43333333333334,94.0,58.0,127.0,14.542010056975451,0.2731283422459893,0,0,0,60,0.0,0.0,0.0
LNGN0398,terminal,betweenness,21.533333333333335,22.0,18.0,24.0,1.1118265116871402,0.44777183600713016,0,2,60,60,0.0,0.03333333333333333,1.0
LNGN0398,terminal,eigenvector,36.1,28.0,1.0,100.0,25.916881482205987,0.7093582887700535,7,11,39,60,0.11666666666666667,0.18333333333333332,0.65
LNGN0398,terminal,node_throughput,67.0,65.5,35.0,109.0,18.68380972293156,0.5983065953654189,0,0,3,60,0.0,0.0,0.05
LNGN0398,terminal,pagerank,53.65,49.0,14.0,100.0,20.265044631046464,0.6696969696969697,0,1,13,60,0.0,0.016666666666666666,0.21666666666666667
LNGN0398,terminal,share_monthly_network_flow,67.0,65.5,35.0,109.0,18.68380972293156,0.5983065953654189,0,0,3,60,0.0,0.0,0.05
LNGN0398,terminal,total_degree,62.21666666666667,60.0,38.0,100.0,15.075057035804818,0.5316399286987522,0,0,1,60,0.0,0.0,0.016666666666666666
LNGN0398,terminal,total_route_exposure,60.78333333333333,55.0,33.0,100.0,16.94966793001719,0.5708110516934046,0,0,1,60,0.0,0.0,0.016666666666666666
LNGN0398,terminal,total_strength,68.1,67.0,37.0,109.0,17.771334755247018,0.5924242424242424,0,0,2,60,0.0,0.0,0.03333333333333333
LNGN0398,terminal,total_voyages,57.18333333333333,52.5,28.0,100.0,19.09254150821566,0.6157308377896613,0,0,10,60,0.0,0.0,0.16666666666666666
LNGN0405,terminal,betweenness,21.533333333333335,22.0,18.0,24.0,1.1118265116871402,0.44777183600713016,0,2,60,60,0.0,0.03333333333333333,1.0
LNGN0405,terminal,eigenvector,75.76666666666667,88.5,1.0,119.0,34.27425117760139,0.3901960784313726,7,7,11,60,0.11666666666666667,0.11666666666666667,0.18333333333333332
LNGN0405,terminal,node_throughput,88.83333333333333,92.5,23.0,123.0,20.00183607391291,0.35053475935828876,0,0,2,60,0.0,0.0,0.03333333333333333
LNGN0405,terminal,pagerank,84.15,89.0,24.0,123.0,22.92495125034094,0.37598039215686274,0,0,3,60,0.0,0.0,0.05
LNGN0405,terminal,share_monthly_network_flow,88.83333333333333,92.5,23.0,123.0,20.00183607391291,0.35053475935828876,0,0,2,60,0.0,0.0,0.03333333333333333
LNGN0405,terminal,total_degree,84.95,89.0,33.0,123.0,20.897185764627633,0.33877005347593586,0,0,1,60,0.0,0.0,0.016666666666666666
LNGN0405,terminal,total_route_exposure,84.0,89.0,17.0,123.0,23.75225234636547,0.35655080213903745,0,1,4,60,0.0,0.016666666666666666,0.06666666666666667
LNGN0405,terminal,total_strength,89.28333333333333,92.5,29.0,123.0,18.925448445679073,0.34812834224598926,0,0,2,60,0.0,0.0,0.03333333333333333
LNGN0405,terminal,total_voyages,85.63333333333334,89.5,20.0,123.0,22.317407256817862,0.35360962566844917,0,0,3,60,0.0,0.0,0.05
LNGN0421,terminal,betweenness,21.533333333333335,22.0,18.0,24.0,1.1118265116871402,0.44777183600713016,0,2,60,60,0.0,0.03333333333333333,1.0
LNGN0421,terminal,eigenvector,54.85,58.0,1.0,99.0,25.866557822008755,0.6173351158645276,7,7,13,60,0.11666666666666667,0.11666666666666667,0.21666666666666667
LNGN0421,terminal,node_throughput,61.5,61.5,23.0,103.0,23.285625157660053,0.6344919786096257,0,0,12,60,0.0,0.0,0.2
LNGN0421,terminal,pagerank,36.7,31.5,5.0,103.0,25.14116079463506,0.7688948306595366,6,18,40,60,0.1,0.3,0.6666666666666666
LNGN0421,terminal,share_monthly_network_flow,61.5,61.5,23.0,103.0,23.285625157660053,0.6344919786096257,0,0,12,60,0.0,0.0,0.2
LNGN0421,terminal,total_degree,61.15,59.5,39.0,103.0,14.007050282879643,0.5431372549019607,0,0,0,60,0.0,0.0,0.0
LNGN0421,terminal,total_route_exposure,54.18333333333333,55.0,18.0,103.0,22.454844833513658,0.6290552584670231,0,3,18,60,0.0,0.05,0.3
LNGN0421,terminal,total_strength,62.93333333333333,62.0,25.0,103.0,22.163389163416312,0.6272281639928698,0,0,9,60,0.0,0.0,0.15
LNGN0421,terminal,total_voyages,57.666666666666664,58.0,21.0,103.0,21.828815248227354,0.6192513368983957,0,0,13,60,0.0,0.0,0.21666666666666667
LNGN0423,terminal,betweenness,21.533333333333335,22.0,18.0,24.0,1.1118265116871402,0.44777183600713016,0,2,60,60,0.0,0.03333333333333333,1.0
LNGN0423,terminal,eigenvector,54.78333333333333,61.0,1.0,97.0,31.49554268526815,0.5610962566844919,7,9,22,60,0.11666666666666667,0.15,0.36666666666666664
LNGN0423,terminal,node_throughput,78.66666666666667,83.5,37.0,108.0,17.005150432822923,0.46697860962566845,0,0,1,60,0.0,0.0,0.016666666666666666
LNGN0423,terminal,pagerank,83.9,86.5,53.0,99.0,10.689294501937562,0.40432263814616753,0,0,0,60,0.0,0.0,0.0
LNGN0423,terminal,share_monthly_network_flow,78.66666666666667,83.5,37.0,108.0,17.005150432822923,0.46697860962566845,0,0,1,60,0.0,0.0,0.016666666666666666
LNGN0423,terminal,total_degree,62.61666666666667,63.0,17.0,99.0,27.216079286910755,0.515017825311943,0,1,18,60,0.0,0.016666666666666666,0.3
LNGN0423,terminal,total_route_exposure,65.93333333333334,69.0,21.0,99.0,24.556311396024668,0.5051693404634582,0,0,12,60,0.0,0.0,0.2
LNGN0423,terminal,total_strength,79.31666666666666,84.0,42.0,108.0,16.162827897670553,0.4634581105169341,0,0,0,60,0.0,0.0,0.0
LNGN0423,terminal,total_voyages,69.71666666666667,75.0,29.0,99.0,21.369304507663404,0.49286987522281644,0,0,5,60,0.0,0.0,0.08333333333333333
LNGN0425,terminal,betweenness,21.533333333333335,22.0,18.0,24.0,1.1118265116871402,0.44777183600713016,0,2,60,60,0.0,0.03333333333333333,1.0
LNGN0425,terminal,eigenvector,83.96666666666667,91.5,1.0,127.0,33.16009786468491,0.32811942959001783,7,7,7,60,0.11666666666666667,0.11666666666666667,0.11666666666666667
LNGN0425,terminal,node_throughput,95.65,94.0,73.0,127.0,13.551940257607498,0.29977718360071304,0,0,0,60,0.0,0.0,0.0
LNGN0425,terminal,pagerank,89.26666666666667,89.5,31.0,127.0,19.76460341172064,0.3340909090909091,0,0,1,60,0.0,0.0,0.016666666666666666
LNGN0425,terminal,share_monthly_network_flow,95.65,94.0,73.0,127.0,13.551940257607498,0.29977718360071304,0,0,0,60,0.0,0.0,0.0
LNGN0425,terminal,total_degree,89.01666666666667,89.5,50.0,127.0,19.542644952805457,0.31323529411764706,0,0,0,60,0.0,0.0,0.0
LNGN0425,terminal,total_route_exposure,90.51666666666667,89.5,55.0,127.0,17.53301164019294,0.3092245989304813,0,0,0,60,0.0,0.0,0.0
