metric,previous_month,current_month,spearman_rank_persistence
counterparty_hhi_terminal,2023-03-01,2023-04-01,0.543084450865
counterparty_hhi_terminal,2023-04-01,2023-05-01,0.597728486561
counterparty_hhi_terminal,2023-05-01,2023-06-01,0.631336990001
counterparty_hhi_terminal,2023-06-01,2023-07-01,0.634998419301
counterparty_hhi_terminal,2023-07-01,2023-08-01,0.608995323404
counterparty_hhi_terminal,2023-08-01,2023-09-01,0.805527001237
counterparty_hhi_terminal,2023-09-01,2023-10-01,0.748863372991
counterparty_hhi_terminal,2023-10-01,2023-11-01,0.691141695661
counterparty_hhi_terminal,2023-11-01,2023-12-01,0.710335560176
counterparty_hhi_terminal,2023-12-01,2024-01-01,0.726902906957
counterparty_hhi_terminal,2024-01-01,2024-02-01,0.573548975074
counterparty_hhi_terminal,2024-02-01,2024-03-01,0.659178270913
counterparty_hhi_terminal,2024-03-01,2024-04-01,0.722967941647
counterparty_hhi_terminal,2024-04-01,2024-05-01,0.468633209124
counterparty_hhi_terminal,2024-05-01,2024-06-01,0.451470435744
counterparty_hhi_terminal,2024-06-01,2024-07-01,0.324132150735
counterparty_hhi_terminal,2024-07-01,2024-08-01,0.452113437156
counterparty_hhi_terminal,2024-08-01,2024-09-01,0.55342184155
counterparty_hhi_terminal,2024-09-01,2024-10-01,0.470404283642
counterparty_hhi_terminal,2024-10-01,2024-11-01,0.348330966164
counterparty_hhi_terminal,2024-11-01,2024-12-01,0.636237968728
counterparty_hhi_country,2020-01-01,2020-02-01,0.632735885638
counterparty_hhi_country,2020-02-01,2020-03-01,0.70707847218
counterparty_hhi_country,2020-03-01,2020-04-01,0.667617107943
counterparty_hhi_country,2020-04-01,2020-05-01,0.356232124891
counterparty_hhi_country,2020-05-01,2020-06-01,0.580381749851
counterparty_hhi_country,2020-06-01,2020-07-01,0.544910630135
counterparty_hhi_country,2020-07-01,2020-08-01,0.617089803549
counterparty_hhi_country,2020-08-01,2020-09-01,0.239603690779
counterparty_hhi_country,2020-09-01,2020-10-01,0.365834134903
counterparty_hhi_country,2020-10-01,2020-11-01,0.501941340475
counterparty_hhi_country,2020-11-01,2020-12-01,0.65488667885
counterparty_hhi_country,2020-12-01,2021-01-01,0.627950191304
counterparty_hhi_country,2021-01-01,2021-02-01,0.689650991822
counterparty_hhi_country,2021-02-01,2021-03-01,0.512506384183
counterparty_hhi_country,2021-03-01,2021-04-01,0.526993276719
counterparty_hhi_country,2021-04-01,2021-05-01,0.561702576641
counterparty_hhi_country,2021-05-01,2021-06-01,0.497136364581
counterparty_hhi_country,2021-06-01,2021-07-01,0.428449860275
counterparty_hhi_country,2021-07-01,2021-08-01,0.539060030634
counterparty_hhi_country,2021-08-01,2021-09-01,0.540268947841
counterparty_hhi_country,2021-09-01,2021-10-01,0.548854436014
counterparty_hhi_country,2021-10-01,2021-11-01,0.589095752469
counterparty_hhi_country,2021-11-01,2021-12-01,0.586822995979
counterparty_hhi_country,2021-12-01,2022-01-01,0.586242737331
counterparty_hhi_country,2022-01-01,2022-02-01,0.527630664391
counterparty_hhi_country,2022-02-01,2022-03-01,0.628499093828
counterparty_hhi_country,2022-03-01,2022-04-01,0.512800834813
counterparty_hhi_country,2022-04-01,2022-05-01,0.61783166822
counterparty_hhi_country,2022-05-01,2022-06-01,0.592641200941
counterparty_hhi_country,2022-06-01,2022-07-01,0.536832202207
counterparty_hhi_country,2022-07-01,2022-08-01,0.661716466957
counterparty_hhi_country,2022-08-01,2022-09-01,0.522553597414
counterparty_hhi_country,2022-09-01,2022-10-01,0.654712358747
counterparty_hhi_country,2022-10-01,2022-11-01,0.544407547046
counterparty_hhi_country,2022-11-01,2022-12-01,0.547320436591
counterparty_hhi_country,2022-12-01,2023-01-01,0.582144737172
counterparty_hhi_country,2023-01-01,2023-02-01,0.601575881002
counterparty_hhi_country,2023-02-01,2023-03-01,0.498188235786
counterparty_hhi_country,2023-03-01,2023-04-01,0.464402289078
counterparty_hhi_country,2023-04-01,2023-05-01,0.573635333739
counterparty_hhi_country,2023-05-01,2023-06-01,0.592674058263
counterparty_hhi_country,2023-06-01,2023-07-01,0.682487820219
counterparty_hhi_country,2023-07-01,2023-08-01,0.491701556629
counterparty_hhi_country,2023-08-01,2023-09-01,0.771488795006
counterparty_hhi_country,2023-09-01,2023-10-01,0.631963487155
counterparty_hhi_country,2023-10-01,2023-11-01,0.616842442115
counterparty_hhi_country,2023-11-01,2023-12-01,0.667733725673
counterparty_hhi_country,2023-12-01,2024-01-01,0.68765215783
counterparty_hhi_country,2024-01-01,2024-02-01,0.598300556316
counterparty_hhi_country,2024-02-01,2024-03-01,0.638339874998
counterparty_hhi_country,2024-03-01,2024-04-01,0.68262012937
counterparty_hhi_country,2024-04-01,2024-05-01,0.495722587542
counterparty_hhi_country,2024-05-01,2024-06-01,0.5335000603
counterparty_hhi_country,2024-06-01,2024-07-01,0.287267257967
counterparty_hhi_country,2024-07-01,2024-08-01,0.353876799088
counterparty_hhi_country,2024-08-01,2024-09-01,0.470693548732
counterparty_hhi_country,2024-09-01,2024-10-01,0.319318684333
counterparty_hhi_country,2024-10-01,2024-11-01,0.40698683145
counterparty_hhi_country,2024-11-01,2024-12-01,0.608742621051
effective_counterparties_terminal,2020-01-01,2020-02-01,0.664858302025
effective_counterparties_terminal,2020-02-01,2020-03-01,0.679454825313
effective_counterparties_terminal,2020-03-01,2020-04-01,0.689484139045
effective_counterparties_terminal,2020-04-01,2020-05-01,0.407841740747
effective_counterparties_terminal,2020-05-01,2020-06-01,0.566463382619
effective_counterparties_terminal,2020-06-01,2020-07-01,0.551515173944
effective_counterparties_terminal,2020-07-01,2020-08-01,0.585516733493
effective_counterparties_terminal,2020-08-01,2020-09-01,0.41149832626
effective_counterparties_terminal,2020-09-01,2020-10-01,0.451650071201
effective_counterparties_terminal,2020-10-01,2020-11-01,0.687173429753
effective_counterparties_terminal,2020-11-01,2020-12-01,0.682469083086
effective_counterparties_terminal,2020-12-01,2021-01-01,0.712667190243
effective_counterparties_terminal,2021-01-01,2021-02-01,0.679289855477
effective_counterparties_terminal,2021-02-01,2021-03-01,0.612878614177
effective_counterparties_terminal,2021-03-01,2021-04-01,0.621306908945
effective_counterparties_terminal,2021-04-01,2021-05-01,0.626868003428
effective_counterparties_terminal,2021-05-01,2021-06-01,0.611418554358
